年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,1,12,火,なめこ,38300,,,30443,471,******,60.3
2021,1,12,火,えのきだけ,38400,,,281371,334,******,71.7
2021,1,12,火,しめじ,38500,,,140076,516,******,88.8
2021,1,12,火,その他の野菜,39000,,,304876,819,6552.2,109.3
2021,1,12,火,輸入野菜計,39100,,,389787,232,3812.1,127.5
2021,1,12,火,他の輸入野菜,39200,,,75906,396,1224.7,222.5
2021,1,13,水,野菜総量,30000,,,8081496,231,46.4,96.7
2021,1,13,水,だいこん,30100,,,865238,83,60.1,95.4
2021,1,13,水,かぶ,30200,,,71175,157,70.8,100.6
2021,1,13,水,にんじん,30300,,,482564,150,38.8,101.4
2021,1,13,水,ごぼう,30400,,,44863,442,45.6,107.5
2021,1,13,水,たけのこ,30500,,,621,1083,36.5,82.0
