年,月,日,曜日,品目名,品目コード,数量,価格
2021,1,11,月,ほうれんそう,31800,1819,733
2021,1,11,月,ねぎ,31900,893,1041
2021,1,11,月,みつば,32500,36,1076
2021,1,11,月,しゅんぎく,32600,149,690
2021,1,11,月,にら,32800,541,1648
2021,1,11,月,カリフラワー,33200,180,307
2021,1,11,月,ブロッコリー,33300,615,336
2021,1,11,月,レタス,33400,21339,144
2021,1,11,月,きゅうり,34100,2375,496
2021,1,11,月,かぼちゃ,34200,1560,222
2021,1,11,月,なす,34300,1037,356
2021,1,11,月,トマト,34400,5197,305
2021,1,11,月,ミニトマト,34450,2253,428
2021,1,11,月,ピーマン,34500,7282,596
2021,1,11,月,ししとう,34600,54,1431
2021,1,11,月,たまねぎ,36610,29390,105
2021,1,11,月,にんにく,36700,355,680
2021,1,11,月,しょうが,37200,399,567
2021,1,11,月,生しいたけ,38100,101,2002
2021,1,11,月,なめこ,38300,25,781
2021,1,11,月,えのきだけ,38400,1200,466
2021,1,11,月,しめじ,38500,1080,581
2021,1,12,火,だいこん,30100,1439686,87
2021,1,12,火,かぶ,30200,100497,156
2021,1,12,火,にんじん,30300,1242887,148
2021,1,12,火,ごぼう,30400,98282,411
2021,1,12,火,たけのこ,30500,1702,1321
2021,1,12,火,れんこん,30600,76917,468
2021,1,12,火,はくさい,31100,2419980,47
2021,1,12,火,みずな,31300,76010,406
2021,1,12,火,こまつな,31500,150486,462
2021,1,12,火,ちんげんさい,31560,50506,341
2021,1,12,火,キャベツ,31700,1858036,95
2021,1,12,火,ほうれんそう,31800,192925,637
2021,1,12,火,ねぎ,31900,620902,547
2021,1,12,火,みつば,32500,14199,744
2021,1,12,火,しゅんぎく,32600,35754,737
2021,1,12,火,にら,32800,84410,1169
2021,1,12,火,アスパラガス,33100,7459,1824
2021,1,12,火,カリフラワー,33200,25661,265
2021,1,12,火,ブロッコリー,33300,256216,458
2021,1,12,火,レタス,33400,881962,210
2021,1,12,火,きゅうり,34100,766236,378
2021,1,12,火,かぼちゃ,34200,326037,186
2021,1,12,火,なす,34300,238700,439
2021,1,12,火,トマト,34400,973403,299
2021,1,12,火,ミニトマト,34450,335779,500
2021,1,12,火,ピーマン,34500,311579,545
2021,1,12,火,ししとう,34600,10289,1052
2021,1,12,火,そらまめ,35400,15411,529
2021,1,12,火,えだまめ,35500,360,2439
2021,1,12,火,さといも,36300,76987,351
2021,1,12,火,たまねぎ,36610,1727992,90
2021,1,12,火,にんにく,36700,14505,858
2021,1,12,火,しょうが,37200,25748,697
2021,1,12,火,生しいたけ,38100,126775,1120
2021,1,12,火,なめこ,38300,30443,471
2021,1,12,火,えのきだけ,38400,281371,334
2021,1,12,火,しめじ,38500,140076,516
2021,1,13,水,だいこん,30100,865238,83
2021,1,13,水,かぶ,30200,71175,157
2021,1,13,水,にんじん,30300,482564,150
2021,1,13,水,ごぼう,30400,44863,442
2021,1,13,水,たけのこ,30500,621,1083
2021,1,13,水,れんこん,30600,56699,450
2021,1,13,水,はくさい,31100,1212233,46
2021,1,13,水,みずな,31300,35083,381
2021,1,13,水,こまつな,31500,69085,449
2021,1,13,水,ちんげんさい,31560,30488,352
2021,1,13,水,キャベツ,31700,959101,99
2021,1,13,水,ほうれんそう,31800,93944,620
2021,1,13,水,ねぎ,31900,306634,515
2021,1,13,水,みつば,32500,8682,564
2021,1,13,水,しゅんぎく,32600,18470,690
2021,1,13,水,にら,32800,43919,1138
2021,1,13,水,アスパラガス,33100,4075,1857
2021,1,13,水,カリフラワー,33200,19496,282
2021,1,13,水,ブロッコリー,33300,106992,485
2021,1,13,水,レタス,33400,348100,222
2021,1,13,水,きゅうり,34100,292762,381
2021,1,13,水,かぼちゃ,34200,184359,177
2021,1,13,水,なす,34300,102691,453
2021,1,13,水,トマト,34400,287849,324
2021,1,13,水,ミニトマト,34450,100828,571
2021,1,13,水,ピーマン,34500,107164,593
2021,1,13,水,ししとう,34600,4191,1224
2021,1,13,水,そらまめ,35400,15651,502
2021,1,13,水,えだまめ,35500,340,2468
2021,1,13,水,さといも,36300,33010,370
2021,1,13,水,たまねぎ,36610,1000524,88
2021,1,13,水,にんにく,36700,7533,1045
2021,1,13,水,しょうが,37200,9467,701
2021,1,13,水,生しいたけ,38100,49107,1124
2021,1,13,水,なめこ,38300,16520,457
2021,1,13,水,えのきだけ,38400,77141,330
2021,1,13,水,しめじ,38500,39904,517
2021,1,14,木,だいこん,30100,1065522,81
2021,1,14,木,かぶ,30200,103830,132
2021,1,14,木,にんじん,30300,831873,139
2021,1,14,木,ごぼう,30400,100100,369
2021,1,14,木,たけのこ,30500,903,1406
2021,1,14,木,れんこん,30600,80414,430
2021,1,14,木,はくさい,31100,1711104,48
2021,1,14,木,みずな,31300,47340,379
2021,1,14,木,こまつな,31500,86098,465
2021,1,14,木,ちんげんさい,31560,31369,342
2021,1,14,木,キャベツ,31700,1337203,94
2021,1,14,木,ほうれんそう,31800,99422,625
2021,1,14,木,ねぎ,31900,446440,506
2021,1,14,木,みつば,32500,11586,561
2021,1,14,木,しゅんぎく,32600,22275,720
2021,1,14,木,にら,32800,57225,1118
2021,1,14,木,アスパラガス,33100,5236,1767
2021,1,14,木,カリフラワー,33200,26537,301
2021,1,14,木,ブロッコリー,33300,140250,497
2021,1,14,木,レタス,33400,546637,199
2021,1,14,木,きゅうり,34100,358110,382
2021,1,14,木,かぼちゃ,34200,249255,181
2021,1,14,木,なす,34300,146643,442
2021,1,14,木,トマト,34400,504241,317
2021,1,14,木,ミニトマト,34450,184984,553
2021,1,14,木,ピーマン,34500,161275,610
2021,1,14,木,ししとう,34600,6448,1111
2021,1,14,木,そらまめ,35400,14882,499
2021,1,14,木,えだまめ,35500,600,2377
2021,1,14,木,さといも,36300,77302,349
2021,1,14,木,たまねぎ,36610,1442615,92
2021,1,14,木,にんにく,36700,19241,1129
2021,1,14,木,しょうが,37200,32988,627
2021,1,14,木,生しいたけ,38100,78275,1116
2021,1,14,木,なめこ,38300,25614,466
2021,1,14,木,えのきだけ,38400,179940,336
2021,1,14,木,しめじ,38500,89859,517
2021,1,15,金,だいこん,30100,1123491,76
