年,月,日,曜日,品目名,品目コード,数量,価格
2021,1,29,金,びわ,43900,5,9504
2021,1,29,金,ぶどう計,45000,6375,1260
2021,1,29,金,いちご,46100,344448,1463
2021,1,29,金,メロン計,47000,26488,711
2021,1,29,金,すいか,48100,13963,328
2021,1,29,金,キウイフルツ,49300,112868,516
2021,1,29,金,バナナ,50100,618892,141
2021,1,29,金,パイナップル,50300,87479,128
2021,1,29,金,レモン,50400,24000,339
2021,1,29,金,オレンジ,50600,65201,230
2021,1,29,金,輸入キウイ,50800,25265,346
2021,1,29,金,輸入メロン,50850,6408,186
2021,1,30,土,みかん,40100,1152326,256
2021,1,30,土,はっさく,41321,70798,176
2021,1,30,土,りんご計,42000,786172,285
2021,1,30,土,かき計,43500,50610,447
2021,1,30,土,おうとう,44800,11,18851
2021,1,30,土,ぶどう計,45000,4810,1738
2021,1,30,土,いちご,46100,397487,1468
2021,1,30,土,メロン計,47000,20796,740
2021,1,30,土,すいか,48100,13917,261
2021,1,30,土,キウイフルツ,49300,63984,526
2021,1,30,土,バナナ,50100,602771,160
2021,1,30,土,パイナップル,50300,87291,152
2021,1,30,土,レモン,50400,29873,304
2021,1,30,土,オレンジ,50600,46063,222
2021,1,30,土,輸入おうとう,50700,40,2160
2021,1,30,土,輸入キウイ,50800,22133,444
2021,1,30,土,輸入メロン,50850,5107,226
2021,2,1,月,みかん,40100,1140900,284
2021,2,1,月,はっさく,41321,126444,191
2021,2,1,月,りんご計,42000,906212,283
2021,2,1,月,日本なし計,43000,5540,382
2021,2,1,月,かき計,43500,13217,408
2021,2,1,月,おうとう,44800,18,16458
2021,2,1,月,ぶどう計,45000,9240,818
2021,2,1,月,いちご,46100,516343,1446
2021,2,1,月,メロン計,47000,30283,753
2021,2,1,月,すいか,48100,5678,486
2021,2,1,月,キウイフルツ,49300,106918,527
2021,2,1,月,バナナ,50100,369298,166
2021,2,1,月,パイナップル,50300,53599,164
2021,2,1,月,レモン,50400,14801,330
2021,2,1,月,オレンジ,50600,35748,213
2021,2,1,月,輸入おうとう,50700,350,1864
2021,2,1,月,輸入キウイ,50800,18340,432
2021,2,1,月,輸入メロン,50850,6574,145
2021,2,2,火,みかん,40100,1003561,269
2021,2,2,火,はっさく,41321,109869,190
2021,2,2,火,りんご計,42000,709623,278
2021,2,2,火,日本なし計,43000,1020,283
2021,2,2,火,かき計,43500,47320,439
2021,2,2,火,びわ,43900,26,5450
2021,2,2,火,おうとう,44800,13,13002
2021,2,2,火,ぶどう計,45000,6548,944
2021,2,2,火,いちご,46100,336700,1462
2021,2,2,火,メロン計,47000,20085,903
2021,2,2,火,すいか,48100,11647,298
2021,2,2,火,キウイフルツ,49300,113907,533
2021,2,2,火,バナナ,50100,302354,155
2021,2,2,火,パイナップル,50300,73950,143
2021,2,2,火,レモン,50400,16986,314
2021,2,2,火,オレンジ,50600,30412,188
2021,2,2,火,輸入おうとう,50700,60,2304
2021,2,2,火,輸入キウイ,50800,8110,393
2021,2,2,火,輸入メロン,50850,2967,229
2021,2,4,木,みかん,40100,1356324,273
2021,2,4,木,はっさく,41321,124100,189
2021,2,4,木,りんご計,42000,1010690,275
2021,2,4,木,かき計,43500,15650,485
2021,2,4,木,びわ,43900,37,6410
2021,2,4,木,おうとう,44800,21,15562
2021,2,4,木,ぶどう計,45000,4167,1679
2021,2,4,木,いちご,46100,522539,1450
2021,2,4,木,メロン計,47000,49862,745
2021,2,4,木,すいか,48100,4040,424
2021,2,4,木,キウイフルツ,49300,94770,538
2021,2,4,木,バナナ,50100,488957,151
2021,2,4,木,パイナップル,50300,66118,164
2021,2,4,木,レモン,50400,20061,310
2021,2,4,木,オレンジ,50600,23949,250
2021,2,4,木,輸入おうとう,50700,505,2374
2021,2,4,木,輸入キウイ,50800,35338,436
2021,2,4,木,輸入メロン,50850,4130,254
2021,2,5,金,みかん,40100,871655,279
2021,2,5,金,はっさく,41321,98691,190
2021,2,5,金,りんご計,42000,915346,283
2021,2,5,金,かき計,43500,5660,367
2021,2,5,金,おうとう,44800,14,15039
2021,2,5,金,ぶどう計,45000,7866,957
2021,2,5,金,いちご,46100,296395,1483
2021,2,5,金,メロン計,47000,28151,855
2021,2,5,金,すいか,48100,5628,428
2021,2,5,金,キウイフルツ,49300,124287,530
2021,2,5,金,バナナ,50100,581105,149
2021,2,5,金,パイナップル,50300,74552,153
2021,2,5,金,レモン,50400,19461,316
2021,2,5,金,オレンジ,50600,41176,236
2021,2,5,金,輸入おうとう,50700,40,2495
2021,2,5,金,輸入キウイ,50800,17772,502
2021,2,5,金,輸入メロン,50850,5738,252
2021,2,6,土,みかん,40100,1104384,278
2021,2,6,土,はっさく,41321,55311,176
2021,2,6,土,りんご計,42000,824107,273
2021,2,6,土,日本なし計,43000,42,494
2021,2,6,土,かき計,43500,6700,483
2021,2,6,土,びわ,43900,59,5506
2021,2,6,土,おうとう,44800,7,16601
2021,2,6,土,ぶどう計,45000,4629,1695
2021,2,6,土,いちご,46100,359909,1492
2021,2,6,土,メロン計,47000,32405,861
2021,2,6,土,すいか,48100,3400,355
2021,2,6,土,キウイフルツ,49300,79610,539
2021,2,6,土,バナナ,50100,491829,160
2021,2,6,土,パイナップル,50300,73724,145
2021,2,6,土,レモン,50400,28006,301
2021,2,6,土,オレンジ,50600,27586,244
2021,2,6,土,輸入おうとう,50700,35,2407
2021,2,6,土,輸入キウイ,50800,13173,446
2021,2,6,土,輸入メロン,50850,3810,231
2021,2,8,月,みかん,40100,917713,289
2021,2,8,月,はっさく,41321,126251,185
2021,2,8,月,りんご計,42000,868383,273
2021,2,8,月,日本なし計,43000,765,256
2021,2,8,月,かき計,43500,11891,443
2021,2,8,月,おうとう,44800,16,17223
2021,2,8,月,ぶどう計,45000,8078,623
2021,2,8,月,いちご,46100,534200,1472
2021,2,8,月,メロン計,47000,33312,787
2021,2,8,月,すいか,48100,4287,375
2021,2,8,月,キウイフルツ,49300,96861,519
2021,2,8,月,バナナ,50100,465934,160
2021,2,8,月,パイナップル,50300,68479,155
2021,2,8,月,レモン,50400,22513,315
2021,2,8,月,オレンジ,50600,24903,239
2021,2,8,月,輸入おうとう,50700,370,2103
2021,2,8,月,輸入キウイ,50800,7713,417
2021,2,8,月,輸入メロン,50850,7841,136
2021,2,9,火,みかん,40100,893524,284
2021,2,9,火,はっさく,41321,131712,196
2021,2,9,火,りんご計,42000,746104,266
2021,2,9,火,かき計,43500,1667,469
2021,2,9,火,びわ,43900,52,5726
2021,2,9,火,おうとう,44800,4,15431
2021,2,9,火,ぶどう計,45000,5872,759
2021,2,9,火,いちご,46100,345021,1498
2021,2,9,火,メロン計,47000,18804,903
2021,2,9,火,すいか,48100,9267,334
2021,2,9,火,キウイフルツ,49300,85839,538
2021,2,9,火,バナナ,50100,351334,152
2021,2,9,火,パイナップル,50300,76052,135
2021,2,9,火,レモン,50400,22200,299
2021,2,9,火,オレンジ,50600,68747,221
2021,2,9,火,輸入キウイ,50800,8452,279
2021,2,9,火,輸入メロン,50850,3692,269
2021,2,10,水,みかん,40100,470714,278
2021,2,10,水,はっさく,41321,68527,182
2021,2,10,水,りんご計,42000,668166,269
2021,2,10,水,かき計,43500,2181,411
2021,2,10,水,びわ,43900,35,4761
2021,2,10,水,おうとう,44800,9,15168
2021,2,10,水,ぶどう計,45000,2149,1472
2021,2,10,水,いちご,46100,342144,1479
2021,2,10,水,メロン計,47000,19720,851
2021,2,10,水,すいか,48100,2288,491
2021,2,10,水,キウイフルツ,49300,25886,542
2021,2,10,水,バナナ,50100,280975,166
2021,2,10,水,パイナップル,50300,44487,169
2021,2,10,水,レモン,50400,15629,310
2021,2,10,水,オレンジ,50600,20299,268
2021,2,10,水,輸入キウイ,50800,16395,479
2021,2,10,水,輸入メロン,50850,2658,296
2021,2,11,木,りんご計,42000,4888,335
2021,2,11,木,いちご,46100,951,1543
2021,2,11,木,メロン計,47000,100,562
2021,2,11,木,キウイフルツ,49300,284,583
2021,2,11,木,バナナ,50100,8173,215
2021,2,11,木,パイナップル,50300,2560,206
2021,2,11,木,レモン,50400,1268,383
2021,2,11,木,オレンジ,50600,918,352
2021,2,11,木,輸入キウイ,50800,478,498
2021,2,11,木,輸入メロン,50850,42,309
2021,2,12,金,みかん,40100,796930,281
2021,2,12,金,はっさく,41321,204804,186
2021,2,12,金,りんご計,42000,1155693,268
2021,2,12,金,日本なし計,43000,930,227
2021,2,12,金,かき計,43500,4009,512
2021,2,12,金,びわ,43900,83,5278
2021,2,12,金,おうとう,44800,8,14405
2021,2,12,金,ぶどう計,45000,4757,850
2021,2,12,金,いちご,46100,633468,1459
2021,2,12,金,メロン計,47000,32529,794
2021,2,12,金,すいか,48100,12528,370
2021,2,12,金,キウイフルツ,49300,165794,548
2021,2,12,金,バナナ,50100,623168,160
2021,2,12,金,パイナップル,50300,104567,147
2021,2,12,金,レモン,50400,22482,340
2021,2,12,金,オレンジ,50600,35883,231
2021,2,12,金,輸入おうとう,50700,30,2448
2021,2,12,金,輸入キウイ,50800,4252,419
2021,2,12,金,輸入メロン,50850,4641,257
2021,2,13,土,みかん,40100,800524,305
2021,2,13,土,はっさく,41321,89248,180
2021,2,13,土,りんご計,42000,819742,270
2021,2,13,土,かき計,43500,403,536
2021,2,13,土,びわ,43900,24,6017
2021,2,13,土,おうとう,44800,13,15527
2021,2,13,土,ぶどう計,45000,3416,772
2021,2,13,土,いちご,46100,422086,1461
2021,2,13,土,メロン計,47000,28830,863
2021,2,13,土,すいか,48100,3940,356
2021,2,13,土,キウイフルツ,49300,73001,531
